2024-04-12 20:05:19 INFO  SparkContext:54 - Created broadcast 2 from csv at kmeans.scala:55
2024-04-12 20:05:19 INFO  FileSourceScanExec:54 - Planning scan with bin packing, max size: 57073876 bytes, open cost is considered as scanning 4194304 bytes.
2024-04-12 20:05:19 INFO  SparkContext:54 - Starting job: csv at kmeans.scala:55
2024-04-12 20:05:19 INFO  DAGScheduler:54 - Got job 1 (csv at kmeans.scala:55) with 8 output partitions
2024-04-12 20:05:19 INFO  DAGScheduler:54 - Final stage: ResultStage 1 (csv at kmeans.scala:55)
2024-04-12 20:05:19 INFO  DAGScheduler:54 - Parents of final stage: List()
2024-04-12 20:05:19 INFO  DAGScheduler:54 - Missing parents: List()
2024-04-12 20:05:19 INFO  DAGScheduler:54 - Submitting ResultStage 1 (MapPartitionsRDD[8] at csv at kmeans.scala:55), which has no missing parents
2024-04-12 20:05:19 INFO  MemoryStore:54 - Block broadcast_3 stored as values in memory (estimated size 14.8 KB, free 365.7 MB)
2024-04-12 20:05:19 INFO  MemoryStore:54 - Block broadcast_3_piece0 stored as bytes in memory (estimated size 8.7 KB, free 365.7 MB)
2024-04-12 20:05:19 INFO  BlockManagerInfo:54 - Added broadcast_3_piece0 in memory on 10.0.0.154:53058 (size: 8.7 KB, free: 366.2 MB)
2024-04-12 20:05:19 INFO  SparkContext:54 - Created broadcast 3 from broadcast at DAGScheduler.scala:1039
2024-04-12 20:05:19 INFO  DAGScheduler:54 - Submitting 8 missing tasks from ResultStage 1 (MapPartitionsRDD[8] at csv at kmeans.scala:55) (first 15 tasks are for partitions Vector(0, 1, 2, 3, 4, 5, 6, 7))
2024-04-12 20:05:19 INFO  TaskSchedulerImpl:54 - Adding task set 1.0 with 8 tasks
2024-04-12 20:05:19 INFO  TaskSetManager:54 - Starting task 0.0 in stage 1.0 (TID 1, localhost, executor driver, partition 0, PROCESS_LOCAL, 8372 bytes)
2024-04-12 20:05:19 INFO  TaskSetManager:54 - Starting task 1.0 in stage 1.0 (TID 2, localhost, executor driver, partition 1, PROCESS_LOCAL, 8372 bytes)
2024-04-12 20:05:19 INFO  TaskSetManager:54 - Starting task 2.0 in stage 1.0 (TID 3, localhost, executor driver, partition 2, PROCESS_LOCAL, 8372 bytes)
2024-04-12 20:05:19 INFO  TaskSetManager:54 - Starting task 3.0 in stage 1.0 (TID 4, localhost, executor driver, partition 3, PROCESS_LOCAL, 8372 bytes)
2024-04-12 20:05:19 INFO  TaskSetManager:54 - Starting task 4.0 in stage 1.0 (TID 5, localhost, executor driver, partition 4, PROCESS_LOCAL, 8372 bytes)
2024-04-12 20:05:19 INFO  TaskSetManager:54 - Starting task 5.0 in stage 1.0 (TID 6, localhost, executor driver, partition 5, PROCESS_LOCAL, 8372 bytes)
2024-04-12 20:05:19 INFO  TaskSetManager:54 - Starting task 6.0 in stage 1.0 (TID 7, localhost, executor driver, partition 6, PROCESS_LOCAL, 8372 bytes)
2024-04-12 20:05:19 INFO  TaskSetManager:54 - Starting task 7.0 in stage 1.0 (TID 8, localhost, executor driver, partition 7, PROCESS_LOCAL, 8372 bytes)
2024-04-12 20:05:19 INFO  Executor:54 - Running task 0.0 in stage 1.0 (TID 1)
2024-04-12 20:05:19 INFO  Executor:54 - Running task 2.0 in stage 1.0 (TID 3)
2024-04-12 20:05:19 INFO  Executor:54 - Running task 1.0 in stage 1.0 (TID 2)
2024-04-12 20:05:19 INFO  Executor:54 - Running task 3.0 in stage 1.0 (TID 4)
2024-04-12 20:05:19 INFO  Executor:54 - Running task 4.0 in stage 1.0 (TID 5)
2024-04-12 20:05:19 INFO  Executor:54 - Running task 5.0 in stage 1.0 (TID 6)
2024-04-12 20:05:19 INFO  Executor:54 - Running task 6.0 in stage 1.0 (TID 7)
2024-04-12 20:05:19 INFO  Executor:54 - Running task 7.0 in stage 1.0 (TID 8)
2024-04-12 20:05:19 INFO  FileScanRDD:54 - Reading File path: file:///Users/rithickumar/Desktop/Waterloo_MS/Winter_2024/CS_651/bigdata2024w/project-q1-vectors/part-00000, range: 342443256-399517132, partition values: [empty row]
2024-04-12 20:05:19 INFO  FileScanRDD:54 - Reading File path: file:///Users/rithickumar/Desktop/Waterloo_MS/Winter_2024/CS_651/bigdata2024w/project-q1-vectors/part-00000, range: 399517132-452396709, partition values: [empty row]
2024-04-12 20:05:19 INFO  FileScanRDD:54 - Reading File path: file:///Users/rithickumar/Desktop/Waterloo_MS/Winter_2024/CS_651/bigdata2024w/project-q1-vectors/part-00000, range: 285369380-342443256, partition values: [empty row]
2024-04-12 20:05:19 INFO  FileScanRDD:54 - Reading File path: file:///Users/rithickumar/Desktop/Waterloo_MS/Winter_2024/CS_651/bigdata2024w/project-q1-vectors/part-00000, range: 171221628-228295504, partition values: [empty row]
2024-04-12 20:05:19 INFO  FileScanRDD:54 - Reading File path: file:///Users/rithickumar/Desktop/Waterloo_MS/Winter_2024/CS_651/bigdata2024w/project-q1-vectors/part-00000, range: 114147752-171221628, partition values: [empty row]
2024-04-12 20:05:19 INFO  FileScanRDD:54 - Reading File path: file:///Users/rithickumar/Desktop/Waterloo_MS/Winter_2024/CS_651/bigdata2024w/project-q1-vectors/part-00000, range: 228295504-285369380, partition values: [empty row]
2024-04-12 20:05:19 INFO  FileScanRDD:54 - Reading File path: file:///Users/rithickumar/Desktop/Waterloo_MS/Winter_2024/CS_651/bigdata2024w/project-q1-vectors/part-00000, range: 0-57073876, partition values: [empty row]
2024-04-12 20:05:19 INFO  FileScanRDD:54 - Reading File path: file:///Users/rithickumar/Desktop/Waterloo_MS/Winter_2024/CS_651/bigdata2024w/project-q1-vectors/part-00000, range: 57073876-114147752, partition values: [empty row]
2024-04-12 20:05:20 INFO  ContextCleaner:54 - Cleaned accumulator 0
2024-04-12 20:05:20 INFO  ContextCleaner:54 - Cleaned accumulator 3
2024-04-12 20:05:20 INFO  ContextCleaner:54 - Cleaned accumulator 1
2024-04-12 20:05:20 INFO  ContextCleaner:54 - Cleaned accumulator 5
2024-04-12 20:05:20 INFO  ContextCleaner:54 - Cleaned accumulator 4
2024-04-12 20:05:20 INFO  ContextCleaner:54 - Cleaned accumulator 2
2024-04-12 20:05:21 INFO  BlockManagerInfo:54 - Removed broadcast_0_piece0 on 10.0.0.154:53058 in memory (size: 23.5 KB, free: 366.3 MB)
2024-04-12 20:05:23 INFO  Executor:54 - Finished task 7.0 in stage 1.0 (TID 8). 1599 bytes result sent to driver
2024-04-12 20:05:23 INFO  TaskSetManager:54 - Finished task 7.0 in stage 1.0 (TID 8) in 4234 ms on localhost (executor driver) (1/8)
2024-04-12 20:05:24 INFO  Executor:54 - Finished task 6.0 in stage 1.0 (TID 7). 1599 bytes result sent to driver
2024-04-12 20:05:24 INFO  Executor:54 - Finished task 1.0 in stage 1.0 (TID 2). 1599 bytes result sent to driver
2024-04-12 20:05:24 INFO  Executor:54 - Finished task 3.0 in stage 1.0 (TID 4). 1599 bytes result sent to driver
2024-04-12 20:05:24 INFO  Executor:54 - Finished task 4.0 in stage 1.0 (TID 5). 1599 bytes result sent to driver
2024-04-12 20:05:24 INFO  TaskSetManager:54 - Finished task 6.0 in stage 1.0 (TID 7) in 4425 ms on localhost (executor driver) (2/8)
2024-04-12 20:05:24 INFO  TaskSetManager:54 - Finished task 3.0 in stage 1.0 (TID 4) in 4429 ms on localhost (executor driver) (3/8)
2024-04-12 20:05:24 INFO  TaskSetManager:54 - Finished task 1.0 in stage 1.0 (TID 2) in 4433 ms on localhost (executor driver) (4/8)
2024-04-12 20:05:24 INFO  TaskSetManager:54 - Finished task 4.0 in stage 1.0 (TID 5) in 4431 ms on localhost (executor driver) (5/8)
2024-04-12 20:05:24 INFO  Executor:54 - Finished task 2.0 in stage 1.0 (TID 3). 1599 bytes result sent to driver
2024-04-12 20:05:24 INFO  TaskSetManager:54 - Finished task 2.0 in stage 1.0 (TID 3) in 4470 ms on localhost (executor driver) (6/8)
2024-04-12 20:05:24 INFO  Executor:54 - Finished task 0.0 in stage 1.0 (TID 1). 1556 bytes result sent to driver
2024-04-12 20:05:24 INFO  TaskSetManager:54 - Finished task 0.0 in stage 1.0 (TID 1) in 4519 ms on localhost (executor driver) (7/8)
2024-04-12 20:05:24 INFO  Executor:54 - Finished task 5.0 in stage 1.0 (TID 6). 1556 bytes result sent to driver
2024-04-12 20:05:24 INFO  TaskSetManager:54 - Finished task 5.0 in stage 1.0 (TID 6) in 4520 ms on localhost (executor driver) (8/8)
2024-04-12 20:05:24 INFO  TaskSchedulerImpl:54 - Removed TaskSet 1.0, whose tasks have all completed, from pool 
2024-04-12 20:05:24 INFO  DAGScheduler:54 - ResultStage 1 (csv at kmeans.scala:55) finished in 4.546 s
2024-04-12 20:05:24 INFO  DAGScheduler:54 - Job 1 finished: csv at kmeans.scala:55, took 4.559625 s
2024-04-12 20:05:24 INFO  FileSourceStrategy:54 - Pruning directories with: 
2024-04-12 20:05:24 INFO  FileSourceStrategy:54 - Post-Scan Filters: 
2024-04-12 20:05:24 INFO  FileSourceStrategy:54 - Output Data Schema: struct<_c0: double, _c1: double, _c2: double, _c3: double, _c4: double ... 8 more fields>
2024-04-12 20:05:24 INFO  FileSourceScanExec:54 - Pushed Filters: 
2024-04-12 20:05:24 INFO  CodeGenerator:54 - Code generated in 135.928583 ms
2024-04-12 20:05:24 INFO  MemoryStore:54 - Block broadcast_4 stored as values in memory (estimated size 277.7 KB, free 365.7 MB)
2024-04-12 20:05:24 INFO  MemoryStore:54 - Block broadcast_4_piece0 stored as bytes in memory (estimated size 23.5 KB, free 365.7 MB)
2024-04-12 20:05:24 INFO  BlockManagerInfo:54 - Added broadcast_4_piece0 in memory on 10.0.0.154:53058 (size: 23.5 KB, free: 366.2 MB)
2024-04-12 20:05:24 INFO  SparkContext:54 - Created broadcast 4 from rdd at KMeans.scala:308
2024-04-12 20:05:24 INFO  FileSourceScanExec:54 - Planning scan with bin packing, max size: 57073876 bytes, open cost is considered as scanning 4194304 bytes.
2024-04-12 20:05:24 INFO  Instrumentation:54 - KMeans-kmeans_da8d4b500576-379407034-1: training: numPartitions=8 storageLevel=StorageLevel(disk, memory, deserialized, 1 replicas)
2024-04-12 20:05:25 INFO  Instrumentation:54 - KMeans-kmeans_da8d4b500576-379407034-1: {"k":10,"seed":1}
2024-04-12 20:05:25 INFO  SparkContext:54 - Starting job: takeSample at KMeans.scala:354
2024-04-12 20:05:25 INFO  DAGScheduler:54 - Got job 2 (takeSample at KMeans.scala:354) with 8 output partitions
2024-04-12 20:05:25 INFO  DAGScheduler:54 - Final stage: ResultStage 2 (takeSample at KMeans.scala:354)
2024-04-12 20:05:25 INFO  DAGScheduler:54 - Parents of final stage: List()
2024-04-12 20:05:25 INFO  DAGScheduler:54 - Missing parents: List()
2024-04-12 20:05:25 INFO  DAGScheduler:54 - Submitting ResultStage 2 (MapPartitionsRDD[16] at map at KMeans.scala:224), which has no missing parents
2024-04-12 20:05:25 INFO  MemoryStore:54 - Block broadcast_5 stored as values in memory (estimated size 30.4 KB, free 365.7 MB)
